2019-02-20 13:24:20,931 ~ 'o'
2019-02-20 13:24:21,097 ~ 'k'
2019-02-20 13:24:21,317 ~ 'e'
2019-02-20 13:24:21,446 ~ Key.space
2019-02-20 13:24:21,614 ~ 's'
2019-02-20 13:24:21,710 ~ 'e'
2019-02-20 13:24:21,791 ~ 'k'
2019-02-20 13:24:21,889 ~ 'a'
2019-02-20 13:24:21,977 ~ 'r'
2019-02-20 13:24:22,084 ~ 'a'
2019-02-20 13:24:22,143 ~ 'n'
2019-02-20 13:24:22,266 ~ 'g'
2019-02-20 13:24:22,399 ~ Key.space
2019-02-20 13:24:22,513 ~ 'g'
2019-02-20 13:24:22,606 ~ 'u'
2019-02-20 13:24:22,682 ~ 'e'
2019-02-20 13:24:22,800 ~ Key.space
2019-02-20 13:24:22,891 ~ 'm'
2019-02-20 13:24:23,014 ~ 'a'
2019-02-20 13:24:23,132 ~ 'u'
2019-02-20 13:24:23,209 ~ Key.space
2019-02-20 13:24:23,511 ~ 't'
2019-02-20 13:24:23,591 ~ 'e'
2019-02-20 13:24:23,693 ~ 's'
2019-02-20 13:24:23,802 ~ 't'
2019-02-20 13:24:24,040 ~ Key.space
2019-02-20 13:24:24,554 ~ 'k'
2019-02-20 13:24:24,649 ~ 'a'
2019-02-20 13:24:24,738 ~ 'l'
2019-02-20 13:24:24,880 ~ 'o'
2019-02-20 13:24:24,963 ~ Key.space
2019-02-20 13:24:25,081 ~ 'a'
2019-02-20 13:24:25,146 ~ 'd'
2019-02-20 13:24:25,266 ~ 'a'
2019-02-20 13:24:25,364 ~ Key.space
2019-02-20 13:24:25,576 ~ 'n'
2019-02-20 13:24:25,702 ~ 'r'
2019-02-20 13:24:25,807 ~ 'p'
2019-02-20 13:24:25,890 ~ Key.space
2019-02-20 13:24:26,255 ~ '1'
2019-02-20 13:24:26,350 ~ '2'
2019-02-20 13:24:26,861 ~ '1'
2019-02-20 13:24:26,944 ~ '5'
2019-02-20 13:24:27,135 ~ '1'
2019-02-20 13:24:27,229 ~ '0'
2019-02-20 13:24:27,358 ~ '0'
2019-02-20 13:24:27,468 ~ '1'
2019-02-20 13:24:27,657 ~ '1'
2019-02-20 13:24:27,748 ~ '5'
2019-02-20 13:24:28,354 ~ Key.space
2019-02-20 13:24:29,273 ~ 's'
2019-02-20 13:24:29,378 ~ 'u'
2019-02-20 13:24:29,463 ~ 'r'
2019-02-20 13:24:29,554 ~ 'a'
2019-02-20 13:24:29,606 ~ 'b'
2019-02-20 13:24:29,746 ~ 'a'
2019-02-20 13:24:29,833 ~ 'y'
2019-02-20 13:24:29,961 ~ 'a'
2019-02-20 13:24:30,033 ~ Key.space
2019-02-20 13:24:30,175 ~ 'i'
2019-02-20 13:24:30,257 ~ 'n'
2019-02-20 13:24:30,376 ~ 'i'
2019-02-20 13:24:30,443 ~ Key.space
2019-02-20 13:24:30,618 ~ 'p'
2019-02-20 13:24:30,732 ~ 'a'
2019-02-20 13:24:30,792 ~ 'w'
2019-02-20 13:24:31,561 ~ 's'
2019-02-20 13:24:32,839 ~ Key.ctrl
2019-02-20 13:24:32,964 ~ 'z'
2019-02-20 13:24:39,459 ~ Key.ctrl
2019-02-20 13:24:39,560 ~ 'z'
